Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9,,,,,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9
,,,,,,,176,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,177,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,178,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,179,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,180,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,181,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,182,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,183,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,184,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,185,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,186,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,187,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,188,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,189,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
