Time_Index,Electricity_MW_CA,Electricity_MW_NW,Electricity_MW_SW,Electricity_MW_TX,Electricity_MW_NCEN,Electricity_MW_CEN,Electricity_MW_SE,Electricity_MW_MIDAT,Electricity_MW_NE,Hydrogen_MW_CA,Hydrogen_MW_NW,Hydrogen_MW_SW,Hydrogen_MW_TX,Hydrogen_MW_NCEN,Hydrogen_MW_CEN,Hydrogen_MW_SE,Hydrogen_MW_MIDAT,Hydrogen_MW_NE,NaturalGas_MW_CA,NaturalGas_MW_NW,NaturalGas_MW_SW,NaturalGas_MW_TX,NaturalGas_MW_NCEN,NaturalGas_MW_CEN,NaturalGas_MW_SE,NaturalGas_MW_MIDAT,NaturalGas_MW_NE,Diesel_MW_Global,Gasoline_MW_Global,JetFuel_MW_Global,Demand_Zero
52,35596,26181,32727,63424,98824,60635,150227,111097,53161,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
53,35908,26666,33319,66052,102443,62216,162902,120944,59457,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
54,37518,27443,34555,71782,118457,67445,213745,172546,87940,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
55,40259,28853,37573,94312,145749,93032,227675,188147,102555,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
56,46511,32507,47490,95575,159619,94561,212941,179603,100682,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
57,62953,40462,52665,93287,157182,89440,192221,161809,91486,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
58,70394,41714,52763,86320,149580,82297,187219,157973,89419,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
59,66258,40809,48657,85833,149832,82658,180911,152874,87935,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
60,60001,38679,48140,82105,149157,80018,175905,150263,87151,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
61,62133,39953,47218,80133,147737,78658,170645,146076,85084,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
