commodity,zone,component_id,component_type,variable,segment,time,value
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,146,0.00038629959254629057
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,147,0.0003900235517809879
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,148,0.000389335052019027
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,149,0.0003842873954282708
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,150,0.0003808113012747836
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,151,0.00037586966203310984
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,152,0.0003584333651477313
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,153,0.00033388048490365417
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,154,0.000332404264756972
Electricity,NW,elec_NW,Node{Electricity},non_served_demand,1,155,0.00033273450574502084
