Time_Index,None,NE_reference_uranium,SE_reference_uranium,TX_reference_uranium,CA_reference_uranium,NW_reference_uranium,SW_reference_uranium,NCEN_reference_uranium,CEN_reference_uranium,MIDAT_reference_uranium,,NE_reference_uranium,SE_reference_uranium,TX_reference_uranium,CA_reference_uranium,NW_reference_uranium,SW_reference_uranium,NCEN_reference_uranium,CEN_reference_uranium,MIDAT_reference_uranium,,Assumptions,,
115,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
116,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
117,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
118,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
119,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
120,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
121,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
122,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
123,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
124,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
125,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
126,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
127,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
128,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
129,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
130,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
131,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
132,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
133,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
134,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
135,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
136,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
137,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
138,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
139,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
140,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
141,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
142,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
143,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
144,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
145,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
146,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
147,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
148,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
149,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
150,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
151,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
152,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
153,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
154,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
155,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
156,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
157,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
158,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
159,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
160,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
161,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
162,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
163,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
164,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
165,0,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,0.8249,,,,,,,,,,,,,,
