Time_Index,MIDAT_conventional_hydroelectric_1,MIDAT_hydroelectric_pumped_storage_1,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_nuclear_1,MIDAT_nuclear_2,MIDAT_onshore_wind_turbine_1,MIDAT_small_hydroelectric_1,MIDAT_solar_photovoltaic_1,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_battery_moderate_0,MIDAT_nuclear_mid_0,MIDAT_utilitypv_class1_moderate_70_0_2_1,MIDAT_utilitypv_class1_moderate_70_0_2_2,MIDAT_utilitypv_class1_moderate_70_0_2_3,MIDAT_utilitypv_class1_moderate_70_0_2_4,MIDAT_utilitypv_class1_moderate_70_0_2_5,MIDAT_utilitypv_class1_moderate_70_0_2_6,MIDAT_utilitypv_class1_moderate_70_0_2_7,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_7
41,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.629771372,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.000857285,0.0,3.41e-5,0.000801588,0.629771372,0.462815355,0.436420969,0.680557792,0.496564008,0.494556956,0.712343425
42,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.676227788,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676227788,0.581949213,0.591852528,0.752793809,0.584709284,0.578603221,0.743696229
43,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7132375,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7132375,0.650631028,0.655433171,0.784841576,0.631879353,0.620967849,0.745699997
44,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.727740278,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.727740278,0.690114883,0.692687872,0.795552452,0.660031454,0.635516692,0.742776889
45,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.716329653,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716329653,0.720569371,0.724985326,0.798287819,0.671261426,0.627167599,0.738721921
46,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.71476264,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71476264,0.738992671,0.72341147,0.798826051,0.678031661,0.627035675,0.735477241
47,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.717695664,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.717695664,0.736035447,0.70853423,0.799729971,0.686802409,0.632248633,0.730432374
48,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.710527322,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.710527322,0.737473289,0.700544617,0.798980674,0.692540438,0.620773688,0.733728222
49,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.754981359,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.754981359,0.734832393,0.696427322,0.797615331,0.690668346,0.596623345,0.727481714
50,0.201446917,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.745732259,0.201446917,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.745732259,0.738116663,0.707853516,0.796692128,0.689548558,0.590583405,0.724703473
