time,elec_CA_seg1,elec_NW_seg1,elec_SW_seg1,elec_NCEN_seg1,elec_CEN_seg1,elec_TX_seg1,elec_SE_seg1,elec_MIDAT_seg1,elec_NE_seg1,h2_CA_seg1,h2_NW_seg1,h2_SW_seg1,h2_NCEN_seg1,h2_CEN_seg1,h2_TX_seg1,h2_SE_seg1,h2_MIDAT_seg1,h2_NE_seg1
68,0.0032060361801840927,0.00339399764501106,0.003258733163226212,0.003200082293559725,0.0031910237721470966,0.003201551845552198,0.003195602838762614,0.003193461847731657,0.0031869765966722726,0.0030895220449282954,0.003081815059834069,0.00304462792337782,0.003323607306507244,0.003380237553842818,0.003295225217416626,0.0033416377862753614,0.003336014652156384,0.00333405983060602
69,0.0032010000154269066,0.0034880973842003862,0.0033106045720170695,0.0031769333310290694,0.003187203567664557,0.0031852231881297505,0.003180490656199759,0.003179215025601897,0.003179771501857855,0.0030808688442976457,0.0030771611961494345,0.0030369942449094225,0.0033193416986090876,0.0033794591084972303,0.003290693737852027,0.003343899774653808,0.00333581597668893,0.0033269861803612746
70,0.0032178424804652247,0.0036173981516709162,0.0033633805615469175,0.0031955648600104063,0.0031867413467441636,0.0031879952001763576,0.0031930133018968094,0.0031911015185362643,0.0031829343282284185,0.0030865285354224983,0.003081862241886022,0.003042610491788132,0.0033308534371138503,0.003391775607866305,0.003301767614013574,0.003352740187397464,0.0033431615896345936,0.0033269707397694504
71,0.003241352569061025,0.0036911308102644765,0.0034282570006175326,0.0031999247323302457,0.003200694957315233,0.003199872361942158,0.0031974316660992818,0.0031957557764616795,0.003188052216228142,0.0030853536864261805,0.003080544063518537,0.003041286069755891,0.0033231859704040004,0.00337985069351324,0.0032941837470566167,0.0033415422884510767,0.0033363229864188256,0.0033347022533223563
72,0.0032905847675266386,0.003815539091571596,0.003498006088267527,0.0031879511772432536,0.0032149486297141767,0.0032122297927619664,0.0031894565377334643,0.003189011776938304,0.0031893155166968713,0.0030788471620633276,0.0030758925775999386,0.003035034406509284,0.0033181857338874855,0.003378513397896713,0.003290985052490882,0.0033420649712575636,0.0033336461566963326,0.003326686180635022
73,0.003352470873977821,0.003922005418753295,0.0035671138116352996,0.0032055790672705633,0.003229082733408829,0.0032181902199015866,0.0031996669145370085,0.0031965878684182512,0.003189775347711157,0.003085623926771787,0.003080992659912932,0.0030412327805451347,0.003330095007695429,0.0033912617386376125,0.0033024843879566543,0.0033517073429953055,0.0033418022697606796,0.0033282403236830713
74,0.0034444880936692077,0.004014540921509099,0.0036100753250327892,0.0032119840298675496,0.0032325241948010083,0.003215252916341625,0.003202431997646327,0.0031982681545728755,0.003190624988591335,0.003084990118598487,0.003079622253373363,0.0030406487897097997,0.0033242687278906857,0.0033775304729274764,0.003294500793583181,0.003339658993890645,0.003338160542361225,0.003335847703264372
75,0.003533730003136742,0.004057538118327457,0.0036201763835747997,0.003207642903955285,0.003236296468997467,0.0032162419626918185,0.0031986261414900493,0.003189398666699183,0.003187155561176799,0.0030789338943566346,0.003073962147634155,0.003035228224049874,0.0033169294769137833,0.0033847684118480533,0.003291552463871333,0.0033403268538712413,0.0033376749712113424,0.0033285390330848224
76,0.003548112711180721,0.004042562430046551,0.0036226726405827413,0.003218168463442393,0.0032330028923666042,0.003209373343556603,0.0032063447098376946,0.0032025203554368453,0.003185429222105633,0.003085469493982016,0.003080785036716701,0.003040928190441527,0.003326980639955528,0.003397666073165871,0.003302824274687342,0.003349916207412805,0.0033444625994058183,0.003328702462659484
77,0.003537980994701425,0.004010274813481498,0.003599764538827071,0.0032222488381727253,0.003227846378867385,0.0032013333098706988,0.0032062176101037986,0.0032047644073756503,0.003182543327217377,0.003085432875420834,0.003079303695146557,0.0030409297740196773,0.0033281811951589376,0.0033873839265942092,0.0032967249872378874,0.003338032514226541,0.003338668709849908,0.0033363588417446156
78,0.003490755220163485,0.003953465984063086,0.0035562167859400657,0.0032077854697328584,0.0032077910365561836,0.0032050004245101245,0.0031772544126022428,0.003178769321827319,0.0031771809951373483,0.003079151939541216,0.0030755648652467825,0.0030352942128307426,0.0033196835822523426,0.0033835373944360284,0.003297210260655901,0.0033407393042561694,0.003339361847049213,0.0033322232766434777
79,0.0034383499742587013,0.003879037270018314,0.003486426294801587,0.0032091441729839285,0.003220905609284401,0.0032143519683521297,0.0031749550091210886,0.003173689365795645,0.0031661328594489867,0.003085684603140338,0.0030809485348733635,0.0030413402290549196,0.0033294393922489725,0.0033978952534514796,0.0033082418631813493,0.0033518083739767857,0.0033464455285775294,0.003333750952488093
80,0.0033290289365083495,0.003696846126537497,0.0033095527315854935,0.003204050050909505,0.0032235198576680084,0.0032173752991013485,0.003174269214046492,0.0031761801316540403,0.003168391445216503,0.003084472059140025,0.003078357858072838,0.003041110588594438,0.003320976045650562,0.0033873484237416838,0.003302830243044537,0.003344146681771503,0.0033421547530606203,0.0033348681908839787
81,0.003204965466091819,0.0034542262800751193,0.0032599462406955647,0.0031868218269342254,0.003215840704484217,0.0032166411013574473,0.0031797152974237294,0.0031749355830945052,0.003173903555644193,0.003080346075599811,0.0030758788974460357,0.0030387610620210776,0.003325785422570995,0.0033943354492622767,0.0033064073512540006,0.0033520017425922276,0.0033483330083106406,0.0033408352917201657
82,0.003202714332141941,0.003423968060928191,0.0032596976405650803,0.0032041286911342766,0.0032115249611037,0.0032120784533740043,0.0031821198921050302,0.003185140612664158,0.0031776501463601516,0.003088739895708635,0.0030829461230829484,0.0030461607733692623,0.0033372974033251744,0.0034056673130031484,0.0033108665644723833,0.0033621811190150904,0.003354477723715213,0.003341591276804132
83,0.0032025323609718662,0.0034422208832032893,0.003299668103333983,0.0032050656041169617,0.0032120575848268726,0.003213138062968762,0.0031848793524089803,0.0031875986266680784,0.0031808360374578483,0.003089813385555098,0.003083739187953294,0.0030475301815033537,0.003324158707358669,0.003394500776573934,0.0033089640730649362,0.003348833524992635,0.003342804264156937,0.0033373651598755955
84,0.003217990743077078,0.0034904840610597656,0.0033034977796012857,0.0032000436808060882,0.003207065246242857,0.003211235118095778,0.003184663258642307,0.0031744090794332373,0.003179620459903063,0.0030886200533221694,0.003082350028095464,0.003045748385677907,0.0033300271834463004,0.0033983664780583215,0.003309012492244818,0.0033575256856532075,0.003348354565270428,0.003343906091192025
85,0.0032114033606629377,0.003463737278649431,0.0033219675859415187,0.003211056323850656,0.003213158333904967,0.0032113714529729085,0.003189087294666035,0.0031897288437895337,0.003182454739700116,0.00309084967379788,0.0030858249856563244,0.003046106110748852,0.0033387075528084928,0.0034063548235761325,0.0033102349310962977,0.003366459888433817,0.0033542295068323936,0.003342866163769744
86,0.0032070881843057107,0.0034924906447845417,0.0033265565859500247,0.003226978443991679,0.0032260373734823043,0.003209636289937948,0.003189470745625951,0.003191920425261394,0.0031855142269701115,0.0030921616331979753,0.003084563691617289,0.0030493046534857964,0.0033264981622892677,0.00339635230029062,0.003309389772866294,0.0033501100714921073,0.0033408541852874498,0.0033376458180172375
87,0.003205434141206132,0.0035061497082366404,0.0033395126680092232,0.0032142183302658776,0.0032190197010164715,0.0031952696298614474,0.003183249322974546,0.003179135529612168,0.0031796248223890334,0.0030891530479028187,0.0030817818707695155,0.003045749658148726,0.003327658527615433,0.0033973583391421164,0.0033078565043945943,0.0033551536381480015,0.003340309504564547,0.003338952810399229
88,0.0032078399833478832,0.0035315735964836516,0.003348793410381814,0.0032100980210136823,0.0032140415527037243,0.003197704563769328,0.0031825483196792886,0.00317584509970472,0.003172895947823182,0.0030911964559325535,0.0030856514170208155,0.0030463050168756016,0.0033375249824438417,0.003405950984746864,0.0033102946173470546,0.0033630486016591574,0.003344429556208082,0.003333595732835614
89,0.003203056246981101,0.0035280129988211574,0.0033290867086597626,0.003201093258753048,0.003212583220875242,0.0032134767184112036,0.0031686295246630154,0.0031776208295974362,0.0031641618218994634,0.00309321329258484,0.0030847603289756065,0.003049785173068858,0.0033302726553737904,0.003396067713060038,0.0033087313291286797,0.0033445707865814465,0.0033311390988585952,0.003338192020658667
90,0.0032004760172448746,0.003489916409216265,0.0032914040303547274,0.0031917101454934428,0.0032147488753082373,0.003211180941574709,0.0031675839589379736,0.0031798076766916847,0.0031657057644772077,0.00308771947632625,0.0030795854931570817,0.0030451181991333637,0.0033188382727300796,0.0033892301531677107,0.0033038054033100502,0.0033442945964230605,0.0033209416839251626,0.0033245151839218423
