zone,Investment,FixedOM,VariableOM,Fuel,Startup,Total
co2_sink_CEN_Bio_H2_Wood_transforms,0.0,0.0,8.860302333678977e-8,0.0,0.0,8.860302333678977e-8
CEN_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,8.980443586238603e-8,0.0,0.0,8.980443586238603e-8
co2_sink_SE_Bio_H2_Wood_transforms,0.0,0.0,9.740263896167663e-8,0.0,0.0,9.740263896167663e-8
SE_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,9.870958958008022e-8,0.0,0.0,9.870958958008022e-8
co2_sink_MIDAT_Bio_H2_Wood_transforms,0.0,0.0,9.752135094866276e-8,0.0,0.0,9.752135094866276e-8
MIDAT_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,9.884076274843684e-8,0.0,0.0,9.884076274843684e-8
co2_sink_NE_Bio_H2_Wood_transforms,0.0,0.0,9.668459363418514e-8,0.0,0.0,9.668459363418514e-8
NE_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,9.797835716200673e-8,0.0,0.0,9.797835716200673e-8
co2_sink_CA_Bio_H2_Agri_transforms,0.0,0.0,7.347214130946805e-8,0.0,0.0,7.347214130946805e-8
CA_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,7.451648926648747e-8,0.0,0.0,7.451648926648747e-8
co2_sink_NW_Bio_H2_Agri_transforms,0.0,0.0,6.340916101026675e-8,0.0,0.0,6.340916101026675e-8
NW_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,6.434026263788098e-8,0.0,0.0,6.434026263788098e-8
co2_sink_SW_Bio_H2_Agri_transforms,0.0,0.0,7.423178674493491e-8,0.0,0.0,7.423178674493491e-8
SW_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,7.530694707595611e-8,0.0,0.0,7.530694707595611e-8
co2_sink_TX_Bio_H2_Agri_transforms,0.0,0.0,7.730989571745306e-8,0.0,0.0,7.730989571745306e-8
TX_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,7.84666664808163e-8,0.0,0.0,7.84666664808163e-8
co2_sink_NCEN_Bio_H2_Agri_transforms,0.0,0.0,1.0710633276817419e-7,0.0,0.0,1.0710633276817419e-7
NCEN_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,1.0863677675780593e-7,0.0,0.0,1.0863677675780593e-7
co2_sink_CEN_Bio_H2_Agri_transforms,0.0,0.0,8.19168699515782e-8,0.0,0.0,8.19168699515782e-8
CEN_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,8.309426669161915e-8,0.0,0.0,8.309426669161915e-8
co2_sink_SE_Bio_H2_Agri_transforms,0.0,0.0,8.516245668493573e-8,0.0,0.0,8.516245668493573e-8
SE_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,8.639447434267299e-8,0.0,0.0,8.639447434267299e-8
co2_sink_MIDAT_Bio_H2_Agri_transforms,0.0,0.0,8.339814068781143e-8,0.0,0.0,8.339814068781143e-8
MIDAT_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,8.45912133731367e-8,0.0,0.0,8.45912133731367e-8
co2_sink_NE_Bio_H2_Agri_transforms,0.0,0.0,7.672212462973209e-8,0.0,0.0,7.672212462973209e-8
NE_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,7.781521205312407e-8,0.0,0.0,7.781521205312407e-8
co2_sink_CA_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,6.100634945490756e-8,0.0,0.0,6.100634945490756e-8
CA_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,1.476212415447318e-9,0.0,0.0,1.476212415447318e-9
co2_sink_NW_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,7.46018476671806e-8,0.0,0.0,7.46018476671806e-8
NW_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,1.8021237065534791e-9,0.0,0.0,1.8021237065534791e-9
co2_sink_SW_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,7.354035531854334e-8,0.0,0.0,7.354035531854334e-8
SW_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,1.7862227893948604e-9,0.0,0.0,1.7862227893948604e-9
co2_sink_TX_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,7.03634361782101e-8,0.0,0.0,7.03634361782101e-8
TX_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,1.70671217207337e-9,0.0,0.0,1.70671217207337e-9
co2_sink_NCEN_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,6.876317548741738e-8,0.0,0.0,6.876317548741738e-8
NCEN_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,1.6532491411814215e-9,0.0,0.0,1.6532491411814215e-9
co2_sink_CEN_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,6.91471559381489e-8,0.0,0.0,6.91471559381489e-8
CEN_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,1.672061526460467e-9,0.0,0.0,1.672061526460467e-9
