Time_Index,Electricity_Demand_MW_SE,Electricity_Demand_MW_MIDAT,Electricity_Demand_MW_NE,Hydrogen_Demand_MW_SE,Hydrogen_Demand_MW_MIDAT,Hydrogen_Demand_MW_NE,Diesel_Demand_MW_SE,Diesel_Demand_MW_MIDAT,Diesel_Demand_MW_NE,Gasoline_Demand_MW_SE,Gasoline_Demand_MW_MIDAT,Gasoline_Demand_MW_NE,JetFuel_Demand_MW_SE,JetFuel_Demand_MW_MIDAT,JetFuel_Demand_MW_NE,NaturalGas_Demand_MW_SE,NaturalGas_Demand_MW_MIDAT,NaturalGas_Demand_MW_NE,Demand_Zero,Ethylene_Demand_SE,Ethylene_Demand_MIDAT,Ethylene_Demand_NE
94,1.13E+06,723496.1757,305093.8019,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
95,1.05E+06,631991.58,280126.9429,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
96,963531.0558,573984.4722,254321.7806,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
97,884552.2523,530199.5926,233564.6621,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
98,820824.2505,501174.8837,218420.5309,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
99,771777.9479,481567.1878,208148.2782,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
100,738137.6569,470264.3544,201921.7501,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
101,718966.37,466565.2453,198216.2065,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
102,707549.8256,468306.0025,199054.5098,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
103,714890.6752,495626.22,212625.3037,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
104,756826.0687,540499.0728,235144.0741,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
