Time_Index,natgas_fossil_SE,natgas_fossil_MIDAT,natgas_fossil_NE,uranium_source,gasoline_fossil_SE,gasoline_fossil_MIDAT,gasoline_fossil_NE,jetfuel_fossil_SE,jetfuel_fossil_MIDAT,jetfuel_fossil_NE,diesel_fossil_SE,diesel_fossil_MIDAT,diesel_fossil_NE,ethane_SE
160,14.05803,13.68269,16.82186,2.79796,94.95991,94.95991,94.95991,75.68131,75.68131,75.68131,97.34841,97.34841,97.34841,21.98
161,14.05803,13.68269,16.82186,2.79796,94.95991,94.95991,94.95991,75.68131,75.68131,75.68131,97.34841,97.34841,97.34841,21.98
162,14.05803,13.68269,16.82186,2.79796,94.95991,94.95991,94.95991,75.68131,75.68131,75.68131,97.34841,97.34841,97.34841,21.98
163,14.05803,13.68269,16.82186,2.79796,94.95991,94.95991,94.95991,75.68131,75.68131,75.68131,97.34841,97.34841,97.34841,21.98
164,14.05803,13.68269,16.82186,2.79796,94.95991,94.95991,94.95991,75.68131,75.68131,75.68131,97.34841,97.34841,97.34841,21.98
165,14.05803,13.68269,16.82186,2.79796,94.95991,94.95991,94.95991,75.68131,75.68131,75.68131,97.34841,97.34841,97.34841,21.98
166,14.05803,13.68269,16.82186,2.79796,94.95991,94.95991,94.95991,75.68131,75.68131,75.68131,97.34841,97.34841,97.34841,21.98
167,14.05803,13.68269,16.82186,2.79796,94.95991,94.95991,94.95991,75.68131,75.68131,75.68131,97.34841,97.34841,97.34841,21.98
168,14.05803,13.68269,16.82186,2.79796,94.95991,94.95991,94.95991,75.68131,75.68131,75.68131,97.34841,97.34841,97.34841,21.98
169,14.05803,13.68269,16.82186,2.79796,94.95991,94.95991,94.95991,75.68131,75.68131,75.68131,97.34841,97.34841,97.34841,21.98
170,14.05803,13.68269,16.82186,2.79796,94.95991,94.95991,94.95991,75.68131,75.68131,75.68131,97.34841,97.34841,97.34841,21.98
171,14.05803,13.68269,16.82186,2.79796,94.95991,94.95991,94.95991,75.68131,75.68131,75.68131,97.34841,97.34841,97.34841,21.98
